Order,Family,Subfamily,Tribe,Subtribe,Taxon,Genus,Species,Subspecies,Pathway,Kranz_anatomy,dC13,BS_area_um2,FM_DM,FM_DM_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,mesophyll_thickness_um,mesophyll_thickness_um_sd,mesophyll_cell_area_um2,Habit,tissue,CITEKEYS
,,,,,Trianthema sedifolia,,,,C4,1,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema sedifolia,,,,C4,1,-13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema sedifolia,,,,C4,1,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema sheilae,,,,C4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema transvaalensis,,,,C4,1,-13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema transvaalensis,,,,C4,1,-12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema turgidifolia,,,,C4,,-11.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema ufoensis,,,,C4,,-10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema vleiensis,,,,C4,1,-14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Trianthema vleiensis,,,,C4,1,-14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Tribulocarpus dimorphanthus,,,,C3,0,-24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Tribulocarpus retusus,,,,C3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya decandra,,,,,,-10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya galericulata,,,,C4,1,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya galericulata,,,,C4,1,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya galericulata,,,,C4,1,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya pentandra,,,,C4,1,-12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya redimita,,,,C4,1,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
,,,,,Zaleya senniei,,,,,,-13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bohley2015PPEES
