Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Cyperus remotus,(C. B. Clarke) Kük.,C4,Hesla et al. (1982),,Cyperus,remotus,,
Cyperus renschii,Boeck.,C3,Druyts-Voets (1970) Hesla et al. (1982),,Cyperus,renschii,,
Cyperus retrofractus,(L.) Torr.,C4,Li et al. (1999) Bruhl and Wilson (2007),,Cyperus,retrofractus,,
Cyperus retrorsus,Chapm.,C4,Li et al. (1999),,Cyperus,retrorsus,,
Cyperus rhynchosporoides,Kük.,C4,Bruhl and Wilson (2007),,Cyperus,rhynchosporoides,,
Cyperus rigens,J. Presl and C. Presl,C4,Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,rigens,,
Cyperus rigidellus,(Benth.) J. Black,C4,Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,rigidellus,,
Cyperus rigidifolius,Steud.,C4,Druyts-Voets (1970) Hesla et al. (1982) Bruhl and Wilson (2007),-12.9,Cyperus,rigidifolius,,
Cyperus rohlfsii,Boeck.,C4,Hesla et al. (1982),,Cyperus,rohlfsii,,
Cyperus rotundus,L.,C4,Sabnis (1921) Mani (1963) Akita et al. (1969) Chen et al. (1970) Druyts-Voets (1970) Black and Mollenhauer (1971) Black et al. (1973) Hofstra et al. (1972) Chen et al. (1974) Troughton et al. (1974) Prakash et al. (1976) Meinzer (1978) Takeda et al. (1980) Borchers et al. (1982) Hesla et al. (1982) Ueno et al. (1986) Bruhl et al. (1987) Li (1993) Lin (1993) Li and Jones (1994) Li et al. (1999) Bruhl and Wilson (2007),,Cyperus,rotundus,,
Cyperus rotundus subsp. merkeri,(C. B. Clarke) Kük.,C4,Druyts-Voets (1970) Hesla et al. (1982),,Cyperus,rotundus,merkeri,subsp.
Cyperus rubicundus,Vahl,C4,Druyts-Voets (1970) Hesla et al. (1982) Bruhl and Wilson (2007),-11.8,Cyperus,rubicundus,,
Cyperus rubiginosus,Hook. f.,C4,Bruhl and Wilson (2007),,Cyperus,rubiginosus,,
Cyperus rupestris,Kunth,C4,Bruhl and Wilson (2007),,Cyperus,rupestris,,
Cyperus sandwicensis,Kük.,C4,Bruhl and Wilson (2007),,Cyperus,sandwicensis,,
Cyperus sanguineo-ater.,Boeck,C4,Bruhl and Wilson (2007),,Cyperus,sanguineo-ater.,,
Cyperus scaber,R. Br.,C4,Bruhl et al. (1987) Bruhl and Wilson (2007),,Cyperus,scaber,,
Cyperus scariosus,R. Br.,C4,Takeda et al. (1985),,Cyperus,scariosus,,
Cyperus schimperianus,Steud.,C4,Druyts-Voets (1970) Hesla et al. (1982),,Cyperus,schimperianus,,
Cyperus schomburgkianus,Nees,C3,Simpson (1990),,Cyperus,schomburgkianus,,
Cyperus schweinitzii,Torr.,C4,Li et al. (1999),,Cyperus,schweinitzii,,
Cyperus secubans,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,secubans,,
Cyperus seemanianus,Boeck.,C4,Bruhl and Wilson (2007),,Cyperus,seemanianus,,
Cyperus semitrifidus,Schrad.,C4,Bruhl and Wilson (2007),,Cyperus,semitrifidus,,
Cyperus serotinus,Rottb.,C4,Akita et al. (1969) Takeda et al. (1980) Collins and Jones (1985) Ueno et al. (1986) Li (1993) Kalapos et al. (1997) Bruhl and Wilson (2007),-13.1,Cyperus,serotinus,,
Cyperus seslerioides,Kunth,C3,Bruhl and Wilson (2007),-30.3,Cyperus,seslerioides,,
Cyperus setigerus,Torr. and Hook.,C4,Li et al. (1999),,Cyperus,setigerus,,
Cyperus sexflorus,R. Br.,C4,Bruhl and Wilson (2007),,Cyperus,sexflorus,,
Cyperus socialis,C. B. Clarke,C4,Bruhl and Wilson (2007),,Cyperus,socialis,,
Cyperus solidus,Kunth,C4,Vorster (1990) Bruhl and Wilson (2007),,Cyperus,solidus,,
Cyperus sordidus,J. Presl and C. Presl,C4,Bruhl and Wilson (2007),,Cyperus,sordidus,,
Cyperus soyauxii,Boeck.,C4,Bruhl and Wilson (2007),-12.8,Cyperus,soyauxii,,
Cyperus sp.,,C4,Bruhl and Wilson (2007),,Cyperus,sp.,,
Cyperus sp.,,C4,Smith and Epstein (1971),,Cyperus,sp.,,
Cyperus sp.,,C4+,Li and Jones (1994),,Cyperus,sp.,,
Cyperus sp.,,C4,Hesla et al. (1982) Bruhl and Wilson (2007),,Cyperus,sp.,,
Cyperus pedunculosus,F. Muell.,C3,Bruhl and Wilson (2007),,Cyperus,pedunculosus,,
Cyperus sexflorus,,C4,Carolin et al. (1977),,Cyperus,sexflorus,,
Cyperus speciosus,Vahl,C4,Bruhl and Wilson (2007),,Cyperus,speciosus,,
Cyperus spectabilis,Spreng.,C4,Bruhl and Wilson (2007),,Cyperus,spectabilis,,
Cyperus sphacelatus,Rottb.,C4,Druyts-Voets (1970),,Cyperus,sphacelatus,,
Cyperus sphaerospermus,Schrad.,C3,Bruhl and Wilson (2007),,Cyperus,sphaerospermus,,
Cyperus sporobolus,R. Br.,C4,Bruhl and Wilson (2007),,Cyperus,sporobolus,,
Cyperus squarrosus,L.,C4,Mani (1960) Druyts-Voets (1970) Mulroy and Rundel (1977) Baskin and Baskin (1981) Hesla et al. (1982)  Takeda et al. (1985) Li (1993) Li et al. (1999) Bruhl and Wilson (2007),-13.1,Cyperus,squarrosus,,
Cyperus stenophyllus,Valck. Sur.,C4,Bruhl and Wilson (2007),,Cyperus,stenophyllus,,
Cyperus stolonifer,Retz.,C4,Ueno and Takeda (1992),,Cyperus,stolonifer,,
Cyperus stradbrokensis,Domin,C3,Bruhl and Wilson (2007),,Cyperus,stradbrokensis,,
Cyperus strigosus,L.,C4,Lerman and Raynal (1972) Li (1993) Li et al. (1999) Buhl and Wilson (2007),-12,Cyperus,strigosus,,
Cyperus subbadius,Kük.,C4,Bruhl and Wilson (2007),,Cyperus,subbadius,,
Cyperus sublimis,(C. B. Clarke) Dandy,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-12.6,Cyperus,sublimis,,
Cyperus submicrolepis,Kük.,C3,Druyts-Voets (1970),,Cyperus,submicrolepis,,
Cyperus subparadoxus,Kük.,C4,Bruhl and Wilson (2007),-13.5,Cyperus,subparadoxus,,
Cyperus subulatus,R. Br.,C4,Bruhl and Wilson (2007),,Cyperus,subulatus,,
Cyperus subumbellatus,Kük.,C4,Hesla et al. (1982),,Cyperus,subumbellatus,,
Cyperus subxerophilus,Kük.,C3,Druyts-Voets (1970),,Cyperus,subxerophilus,,
Cyperus surinamensis,Rottb.,C3,Denton (1983) Bruhl and Wilson (2007),-28.3,Cyperus,surinamensis,,
Cyperus tabularis,Schrad.,C4,Bruhl and Wilson (2007),,Cyperus,tabularis,,
Cyperus tanganyicanus,(Kük.) K. Lye,C4,Druyts-Voets (1970),,Cyperus,tanganyicanus,,
Cyperus tenax,Boeck.,C4,Druyts-Voets (1970) Hesla et al. (1982) Bruhl and Wilson (2007),,Cyperus,tenax,,
Cyperus tenellus,L. f.,C3,Druyts-Voets (1970) Takeda et al. (1985),,Cyperus,tenellus,,
Cyperus tenerrimus,J. Presl and C. Presl,C3,Simpson (1990),,Cyperus,tenerrimus,,
Cyperus tenuiculmis,Boeck.,C4,Druyts-Voets (1970) Bruhl and Wilson (2007),-11.9,Cyperus,tenuiculmis,,
Cyperus tenuiculmis var. tenuiculmis,Boeck.,C4,Druyts-Voets (1970),,Cyperus,tenuiculmis,tenuiculmis,var.
Cyperus tenuiculmis var. schweinfurthianus,(Boeck.) S. S. Hooper,C4,Druyts-Voets (1970),,Cyperus,tenuiculmis,schweinfurthianus,var.
Cyperus tenuis var. luridus,(C. B. Clarke) Kük.,C4,Bruhl and Wilson (2007),-12.3,Cyperus,tenuis,luridus,var.
Cyperus tenuispica,Steud.,C3,Mani (1960) Druyts-Voets (1970) Nautiyal and Das (1982) Ueno and Takeda (1992) Bruhl and Wilson (2007),-28.1,Cyperus,tenuispica,,
Cyperus tenuispiculatus,Boeck.,C4,Bruhl and Wilson (2007),,Cyperus,tenuispiculatus,,
Cyperus tetracarpus,Boeck.,C4,Bruhl and Wilson (2007),,Cyperus,tetracarpus,,
Cyperus textilis,Thunb.,C3,Druyts-Voets (1970),,Cyperus,textilis,,
Cyperus textilis,Thunb.,C4+,Li (1993),,Cyperus,textilis,,
Cyperus thomsonii,Boeck.,C4,Bruhl and Wilson (2007),,Cyperus,thomsonii,,
Cyperus thunbergii,Vahl,C4,Bruhl and Wilson (2007),,Cyperus,thunbergii,,
Cyperus thyrsiflorus,Junghuhn,C4,Bruhl and Wilson (2007),,Cyperus,thyrsiflorus,,
Cyperus tomaiophyllus,K. Schum.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-11.9,Cyperus,tomaiophyllus,,
Cyperus tonkinensis,C. B. Clarke,C4,Bruhl and Wilson (2007),,Cyperus,tonkinensis,,
Cyperus tonkinensis var. baikei,(C. B. Clarke ex Kuk) S. S. Hooper,C4,Druyts-Voets (1970),,Cyperus,tonkinensis,baikei,var.
Cyperus trachysanthos,Hook. and Arn.,C4,Bruhl and Wilson (2007),,Cyperus,trachysanthos,,
Cyperus trichodes,Griseb.,C4,Bruhl and Wilson (2007),,Cyperus,trichodes,,
Cyperus tuberosus,Rottb.,C4,Druyts-Voets (1970) Hesla et al. (1982) Takeda et al. (1985),,Cyperus,tuberosus,,
Cyperus turrillii,Kük.,C4,Bruhl and Wilson (2007),-10.55,Cyperus,turrillii,,
Cyperus uncinulatus,Schrad. ex Nees,C3,Bruhl and Wilson (2007),-27.4,Cyperus,uncinulatus,,
Cyperus undulatus,Kük.,C4,Hesla et al. (1982),,Cyperus,undulatus,,
Cyperus usitatus,Burch.,C4,Hesla et al. (1982),,Cyperus,usitatus,,
Cyperus usitatus var. stuhlmannii,(C. B. Clarke) K. Lye,C4,Hesla et al. (1982),,Cyperus,usitatus,stuhlmannii,var.
Cyperus ustulatus,A. Rich.,C4,Troughton et al. (1974),,Cyperus,ustulatus,,
Cyperus vaginatus,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,vaginatus,,
Cyperus varicus,(C. B. Clarke) Kük.,C4,Bruhl and Wilson (2007),,Cyperus,varicus,,
Cyperus vestitus,Krauss,C4,Hesla et al. (1982),,Cyperus,vestitus,,
Cyperus victoriensis,C. B. Clarke,C4,Carolin et al. (1977) Takeda et al. (1985) Bruhl and Wilson (2007),,Cyperus,victoriensis,,
Cyperus virens,Michx.,C3,Denton (1983) Bruhl and Wilson (2007),-29.4,Cyperus,virens,,
Cyperus virens var. minarum,(Boeck.) Denton,C3,Denton (1983),,Cyperus,virens,minarum,var.
Cyperus virens var. montanus,(Boeck.) Denton,C3,Denton (1983),,Cyperus,virens,montanus,var.
Cyperus viscidulus,K. L. Wilson,C4,Bruhl and Wilson (2007),,Cyperus,viscidulus,,
Cyperus vorsteri,K. L. Wilson,C4,Vorster (1990),,Cyperus,vorsteri,,
Cyperus zollingeri,Steud.,C4,Hesla et al. (1982),,Cyperus,zollingeri,,
Cypringlea analecta,(Beetle) M. T. Strong,C3,Bruhl and Wilson (2007),,Cypringlea,analecta,,
Desmoschoenus spiralis,(A. Rich.) Hook. f.,C3,Bruhl and Wilson (2007),-24.6 -24.7,Desmoschoenus,spiralis,,
Didymiandrum stellatum,(Boeck.) Gilly,C3,Bruhl and Wilson (2007),,Didymiandrum,stellatum,,
Diplacrum africanum,C. B. Clarke,C3,Bruhl and Wilson (2007),,Diplacrum,africanum,,
Diplacrum caricinum,R. Br.,C3,Govindarajalu (1975a) Bruhl and Wilson (2007),,Diplacrum,caricinum,,
Diplacrum pygmaeum,(R. Br.) Nees ex Boeck.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Diplacrum,pygmaeum,,
Diplasia karataefolia,Rich. Ex Pers.,C3,Koyama (1967) Metcalfe (1971) Bruhl and Wilson (2007),,Diplasia,karataefolia,,
Dulichium arundinaceum,(L.) Britton,C3,Lerman and Raynal (1972) Bruhl and Wilson (2007),-30.7,Dulichium,arundinaceum,,
Egleria fructans,L. T. Eiten,C3,Bruhl and Wilson (2007),-25.6 -27.6,Egleria,fructans,,
Eleocharis acicularis,(L.) Roem. and Schult.,C3,Akita et al. (1969) Sternberg et al. (1984) Keeley et al. (1986) Ueno et al. (1989) Ueno and Takeda (1992) Lin et al. (1993) Bruhl and Wilson (2007),,Eleocharis,acicularis,,
Eleocharis acuta,R. Br.,C3,Takeda et al. (1985) Bruhl et al. (1987) Ueno et al. (1989) Bruhl  and Perry (1995) Bruhl and Wilson (2007),-28.2 -28.4,Eleocharis,acuta,,
Eleocharis acutangula,(Roxb.) Roem. and Schult.,C3,Govindarajalu (1975a) Hesla et al. (1982) Ueno et al. (1989) Ueno and Takeda (1992) Bruhl and Wilson (2007),-27.3,Eleocharis,acutangula,,
Eleocharis acutisquamata,Buckley,C3,Ueno et al. (1989),,Eleocharis,acutisquamata,,
Eleocharis albibracteatea,Nees and Meyen,C3,Ueno et al. (1989),,Eleocharis,albibracteatea,,
Eleocharis albida,Torr.,C3,Ueno et al. (1989),,Eleocharis,albida,,
Eleocharis alveolata,Svenson,C4,Ueno et al. (1989),,Eleocharis,alveolata,,
Eleocharis amazonica,C. B. Clarke,C3,Ueno et al. (1989),,Eleocharis,amazonica,,
Eleocharis ambigens,Fernald,C3,Ueno et al. (1989),,Eleocharis,ambigens,,
Eleocharis atricha,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Eleocharis,atricha,,
Eleocharis atropurpurea,(Retz.) Presl,C3,Govindarajalu (1975a) Hesla et al. (1982) Takeda et al. (1985) Ueno et al. (1989) Ueno and Takeda (1992) Bruhl and Wilson (2007),-26.90,Eleocharis,atropurpurea,,
Eleocharis attenuata,(Franch. and Sav.) Palla,C3,Ueno and Takeda (1992) Bruhl and Wilson (2007),,Eleocharis,attenuata,,
Eleocharis bahamensis,Boeck.,C3,Ueno et al. (1989),,Eleocharis,bahamensis,,
Eleocharis baldwinii,(Torr.) Chapm.,C4,Uchino et al. (1995) Ueno and Samejima (1989) Ueno and Samejima (1990),,Eleocharis,baldwinii,,
Eleocharis baldwinii,(Torr.) Chapm.,C3-C4,Uchino et al. (1995) Ueno (2004),,Eleocharis,baldwinii,,
Eleocharis bella,(Piper) Svenson,C3,Ueno et al. (1989),,Eleocharis,bella,,
Eleocharis bolanderi,A. Gray,C3,Ueno et al. (1989),,Eleocharis,bolanderi,,
Eleocharis bonariensis,Nees,C3,Ueno et al. (1989),,Eleocharis,bonariensis,,
Eleocharis brassii,S. T. Blake,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Eleocharis,brassii,,
Eleocharis caespitosissima,J. G. Baker,C4,Bruhl et al. (1987) Bruhl and Perry (1995),-13.0 -13.6,Eleocharis,caespitosissima,,
Eleocharis cancellata,S. Wats.,C3,Ueno et al. (1989) Bruhl and Wilson (2007),,Eleocharis,cancellata,,
Eleocharis capillacea,Kunth,C3,Ueno et al. (1989),,Eleocharis,capillacea,,
Eleocharis cellulosa,Torr.,C3,Ueno et al. (1989),,Eleocharis,cellulosa,,
Eleocharis compressa,Sull.,C3,Ueno et al. (1989),,Eleocharis,compressa,,
Eleocharis congesta,D. Don,C3,Govindarajalu (1975a) Ueno et al. (1989) Ueno (2004) Bruhl and Wilson (2007),,Eleocharis,congesta,,
Eleocharis congesta subsp. japonica,(Miq.) Koyama,C3,Ueno and Takeda (1992),,Eleocharis,congesta,japonica,subsp.
Eleocharis crinalis,(Griseb.) C. B. Clarke,C3,Ueno et al. (1989),,Eleocharis,crinalis,,
Eleocharis cylindrica,Buckley,C3-C4,Guaglianone and Ueno (1990),,Eleocharis,cylindrica,,
Eleocharis cylindrica,Buckley,C3-C4?,Ueno et al. (1989),,Eleocharis,cylindrica,,
Eleocharis cylindrostachys,Boeck.,C3-C4,Ueno et al. (1989),,Eleocharis,cylindrostachys,,
Eleocharis debilis,Kunth,C3,Ueno et al. (1989),,Eleocharis,debilis,,
Eleocharis decumbens,C. B. Clarke,C3,Ueno et al. (1989),,Eleocharis,decumbens,,
Eleocharis densa,Benth.,C3,Ueno et al. (1989),,Eleocharis,densa,,
Eleocharis dietrichiana,Boeck.,C3,Ueno et al. (1989),,Eleocharis,dietrichiana,,
Eleocharis dombeyana,Kunth,C3,Ueno et al. (1989),,Eleocharis,dombeyana,,
Eleocharis dulcis,(Burm. f.) Hensch.,C3,Takeda et al. (1985) Ueno and Takeda (1992) Ueno et al. (1989) Ellery et al. (1992) Bruhl and Wilson (2007),,Eleocharis,dulcis,,
Eleocharis dunensis,Kük.,C3,Ueno et al. (1989),,Eleocharis,dunensis,,
Eleocharis elegans,(Kunth) Roem. and Schult.,C3,Ueno et al. (1989),,Eleocharis,elegans,,
Eleocharis elliptica,Kunth,C3,Ueno et al. (1989),,Eleocharis,elliptica,,
Eleocharis elongata,Chapm.,C3,Ueno et al. (1989),,Eleocharis,elongata,,
Eleocharis engelmannii,Steud.,C3,Ueno et al. (1989),,Eleocharis,engelmannii,,
Eleocharis equisetina,J. Presl and C. Presl,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Eleocharis,equisetina,,
Eleocharis equisetoides,(Elliott) Torr.,C3,Ueno et al. (1989),,Eleocharis,equisetoides,,
Eleocharis erythropoda,Steud.,C3,Ueno et al. (1989),,Eleocharis,erythropoda,,
Eleocharis exigua,(Kunth) Roem. and Schult.,C3?,Ueno et al. (1989),,Eleocharis,exigua,,
Eleocharis filiculmis,Kunth,C3,Ueno et al. (1989),,Eleocharis,filiculmis,,
Eleocharis flavescens,(Poir.) Urban,C3,Ueno et al. (1989),,Eleocharis,flavescens,,
Eleocharis flavescens var. olivacea,(Torr.) Gleason,C3,Ueno et al. (1989),,Eleocharis,flavescens,olivacea,var.
Eleocharis geniculata,(L.) Roem. and Schult.,C3,Govindarajalu (1975a) Takeda et al. (1985) Bruhl et al. (1987) Ueno et al.  (1989) Ueno and Takeda (1992) Bruhl and Perry (1995) Bruhl and Wilson (2007),-28.1 -29.8,Eleocharis,geniculata,,
Eleocharis glauca,Boeck.,C4,Ueno et al. (1989),,Eleocharis,glauca,,
Eleocharis gracilis,R. Br.,C3,Takeda et al. (1985) Ueno et al. (1989),,Eleocharis,gracilis,,
Eleocharis grisea,Kük.,C3,Ueno et al. (1989),,Eleocharis,grisea,,
Eleocharis haumaniana,Barros,C3,Ueno et al. (1989),,Eleocharis,haumaniana,,
Eleocharis intermedia,Schult.,C3,Ueno et al. (1989),,Eleocharis,intermedia,,
Eleocharis interstincta,(Vahl) Roem. and Schult.,C3,Eiten (1969) Ueno et al. (1989),,Eleocharis,interstincta,,
Eleocharis intricata,Kük.,C3,Ueno et al. (1989) Bruhl and Wilson (2007),,Eleocharis,intricata,,
Eleocharis kamtschatica,(C. A. Mey.) Komarov,C3,Ueno et al. (1989) Ueno and Takeda (1992),,Eleocharis,kamtschatica,,
Eleocharis kuroguwai,Ohwi,C3,Akita et al. (1969) Ueno and Takeda (1992),,Eleocharis,kuroguwai,,
Eleocharis lanceolata,Fernald,C3,Ueno et al. (1989),,Eleocharis,lanceolata,,
Eleocharis limosa,(Schrad.) Schult.,C3,Ueno et al. (1989),-26.17,Eleocharis,limosa,,
Eleocharis limosa X E. macounii,,C3,Ueno et al. (1989),,Eleocharis,limosa X E. macounii,,
Eleocharis macrostachya,Britton,C3,Keeley et al. (1986) Ueno et al. (1989),,Eleocharis,macrostachya,,
Eleocharis maculosa,(Vahl) Roem. and Schult.,C3,Ueno et al. (1989),,Eleocharis,maculosa,,
Eleocharis mamillata,(Lindb.) Lindb.,C3,Ueno et al. (1989) Ueno and Takeda (1992),,Eleocharis,mamillata,,
Eleocharis margaritacea,(Hulten) Miyabe and Kudo,C3,Ueno and Takeda (1992),,Eleocharis,margaritacea,,
Eleocharis marginulata,Steud.,C3,Hesla et al. (1982),,Eleocharis,marginulata,,
Eleocharis melanocarpa,Torr.,C3,Ueno et al. (1989),,Eleocharis,melanocarpa,,
Eleocharis melanostachys,(Urville) C. B. Clarke,C3,Ueno et al. (1989),,Eleocharis,melanostachys,,
Eleocharis minarum,Boeck.,C3,Ueno et al. (1989),,Eleocharis,minarum,,
Eleocharis minima,Kunth,C4,Ueno et al. (1989),,Eleocharis,minima,,
Eleocharis minuta,Boeck.,C3,Ueno et al. (1989) Bruhl and Wilson (2007),-28.0,Eleocharis,minuta,,
Eleocharis minutissima,Britton,C3,Ueno et al. (1989),,Eleocharis,minutissima,,
Eleocharis mitracarpa,Steud.,C3,Ueno et al. (1989),,Eleocharis,mitracarpa,,
Eleocharis mitrata,(Griseb.) C. B. Clarke,C3,Ueno et al. (1989),,Eleocharis,mitrata,,
Eleocharis montevidensis,Kuntha,C3,Ueno et al. (1989),,Eleocharis,montevidensis,,
Eleocharis multicaulis,Sm.,C3,Ueno et al. (1989),,Eleocharis,multicaulis,,
Eleocharis mutata,(L.) Roem. and Schult.,C3,Ueno et al. (1989),,Eleocharis,mutata,,
Eleocharis nana,Kunth,C3,Ueno et al. (1989),,Eleocharis,nana,,
Eleocharis naumanniana,Boeck.,C3,Bruhl and Wilson (2007),,Eleocharis,naumanniana,,
Eleocharis nervata,Svenson,C3,Ueno et al. (1989),,Eleocharis,nervata,,
Eleocharis nigrescens,(Nees) Steud.,C3,Hesla et al. (1982) Ueno et al. (1989),,Eleocharis,nigrescens,,
Eleocharis nitida,Fernald,C3,Ueno et al. (1989) Bruhl and Wilson (2007),,Eleocharis,nitida,,
Eleocharis nuda,C. B. Clarke,C3,Ueno et al. (1989),,Eleocharis,nuda,,
Eleocharis nudipes,(Kunth) Palla,C3,Ueno et al. (1989),,Eleocharis,nudipes,,
Eleocharis nupeensis,Hutch. and Dalziel,C3,Ueno et al. (1989),,Eleocharis,nupeensis,,
Eleocharis obicis,L. Johnson and O. Evans,C3,Bruhl and Wilson (2007),,Eleocharis,obicis,,
Eleocharis obtusa,(Willd.) Schult.,C3,Ueno et al. (1989),,Eleocharis,obtusa,,
Eleocharis ochrostachys,Steud.,C3,Bruhl and Wilson (2007),,Eleocharis,ochrostachys,,
Eleocharis oligantha,C. B. Clarke,C3,Ueno et al. (1989),,Eleocharis,oligantha,,
Eleocharis ovata,(Roth) Roem. and Schult.,C3,Ueno et al. (1989) Ueno and Takeda (1992),,Eleocharis,ovata,,
Eleocharis pachycarpa,E. Desv.,C3?,Ueno et al. (1989),,Eleocharis,pachycarpa,,
Eleocharis pachystyla,(C. Wright) C. B. Clarke,C3?,Ueno et al. (1989),,Eleocharis,pachystyla,,
Eleocharis pallens,S. T. Blake,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Eleocharis,pallens,,
Eleocharis palustris,(L.) Roem. and Schult.,C3,Ueno et al. (1989) Bruhl and Wilson (2007),-27.3,Eleocharis,palustris,,
Eleocharis palustris subsp. parvinux,(Ohwi) T. Koyama,C3,Ueno and Takeda (1992),,Eleocharis,palustris,parvinux,subsp.
Eleocharis parishii,Britton,C3,Ueno et al. (1989),,Eleocharis,parishii,,
Eleocharis parodii,Barros,C3,Ueno et al. (1989),,Eleocharis,parodii,,
Eleocharis parvula,(Roem. and Schult.) Link ex Bluff,C3,Bender (1971) Ueno et al. (1989) Bruhl and Wilson (2007),-24.5,Eleocharis,parvula,,
Eleocharis pellucida,J. Presl and C. Presl,C3,Ueno et al. (1989),,Eleocharis,pellucida,,
Eleocharis philippinensis,Svenson,C3,Bruhl and Wilson (2007),,Eleocharis,philippinensis,,
Eleocharis plana,S. T. Blake,C3,Takeda et al. (1985),,Eleocharis,plana,,
Eleocharis plicarhachis,(Griseb.) Svenson,C3,Ueno et al. (1989),,Eleocharis,plicarhachis,,
Eleocharis pusilla,R. Br.,C3-C4?,Bruhl et al. (1987),-26.7,Eleocharis,pusilla,,
Eleocharis pusilla,R. Br.,C3-C4,Bruhl and Perry (1995) Bruhl and Wilson (2007),,Eleocharis,pusilla,,
Eleocharis quadrangulata,(Michx.) Roem. and Schult.,C3,Ueno et al. (1989),,Eleocharis,quadrangulata,,
Eleocharis quinquangularis,Boeck.,C3-C4?,Ueno et al. (1989),,Eleocharis,quinquangularis,,
Eleocharis quinqueflora,(Hartmann) O. Schwarz,C3,Boutton et al. (1980) Ueno et al. (1989),,Eleocharis,quinqueflora,,
Eleocharis radicans,(Poir.) Kunth,C3,Ueno et al. (1989),,Eleocharis,radicans,,
Eleocharis retroflexa,(Poir.) Urb.,C3+,Govindarajalu (1975a),,Eleocharis,retroflexa,,
Eleocharis retroflexa subsp. chaetaria,(Roem. and Schult.) T. Koyama,C4,Govindarajalu (1975a),-10.4 -10.9,Eleocharis,retroflexa,chaetaria,subsp.
Eleocharis retroflexa subsp. retroflexa,(Poir.) Urb.,C4,Bruhl et al. (1987) Ueno et al. (1989) Brul and Perry (1995) Sorros and Delger (2001) Bruhl and Wilson (2007),-12.9 -12.9,Eleocharis,retroflexa,retroflexa,subsp.
Eleocharis retroflexa subsp. subtilissima,(Nelmes) K. Lye,C4,Bruhl and Wilson (2007),-14.4 -14.7,Eleocharis,retroflexa,subtilissima,subsp.
Eleocharis reverchonii,Svenson,C3-C4?,Ueno et al. (1989),,Eleocharis,reverchonii,,
Eleocharis robbinsii,Oakes,C3,Ueno et al. (1989),,Eleocharis,robbinsii,,
Eleocharis rostellata,(Torr.) Torr.,C3,Ueno et al. (1989),,Eleocharis,rostellata,,
Eleocharis schaffneri,Boeck.,C3,Ueno et al. (1989),,Eleocharis,schaffneri,,
Eleocharis schlechteri,C. B. Clarke,C3,Bruhl and Wilson (2007),,Eleocharis,schlechteri,,
Eleocharis schweinfurthiana,Boeck.,C3,Ueno et al. (1989),,Eleocharis,schweinfurthiana,,
Eleocharis sellowiana,Kunth,C3,Ueno et al. (1989),,Eleocharis,sellowiana,,
Eleocharis setifolia,(A. Rich.) J. Raynal,C3,Bruhl and Wilson (2007),,Eleocharis,setifolia,,
Eleocharis sintenisii,Boeck.,C3,Ueno et al. (1989),,Eleocharis,sintenisii,,
Eleocharis sp.,,C3,Ueno et al. (1989),,Eleocharis,sp.,,
Eleocharis sp. aff. nuda,,C3,Bruhl and Wilson (2007),,Eleocharis,sp.,nuda,aff.
Eleocharis sp. aff. ochrostachys,,C3,Bruhl and Wilson (2007),,Eleocharis,sp.,ochrostachys,aff.
Eleocharis sp. aff. variegata,,C3,Bruhl and Wilson (2007),,Eleocharis,sp.,variegata,aff.
Eleocharis sphacelata,R. Br.,C3,Takeda et al. (1985) Bruhl et al. (1987) Ueno et al. (1989) Bruhl and Wilson (2007),,Eleocharis,sphacelata,,
Eleocharis spiralis,(Rottb.) Roem. and Schult.,C3,Govindarajalu (1975a) Takeda et al. (1985) Ueno et al. (1989) Bruhl and Wilson (2007),,Eleocharis,spiralis,,
Eleocharis squamigera,Svenson,C3,Ueno et al. (1989),,Eleocharis,squamigera,,
Eleocharis stenocarpa,Svenson,C3,Ueno et al. (1989),,Eleocharis,stenocarpa,,
Eleocharis subarticulata,(Nees) Boeck.,C3,Ueno et al. (1989),,Eleocharis,subarticulata,,
Eleocharis subcancellata,C. B. Clarke,C4,Bruhl and Wilson (2007),-11.3 -13.0 -11.4 -11.9,Eleocharis,subcancellata,,
Eleocharis subcancellata,C. B. Clarke,C3+,Ueno et al. (1989),,Eleocharis,subcancellata,,
Eleocharis sundaica,Kern,C3,Bruhl and Wilson (2007),,Eleocharis,sundaica,,
Eleocharis tenuis,(Willd.) Schult.,C3,Ueno et al. (1989),,Eleocharis,tenuis,,
Eleocharis tetraquetra,Nees,C3,Govindarajalu (1975a) Ueno and Takeda (1992) Bruhl and Wilson (2007),,Eleocharis,tetraquetra,,
Eleocharis tortilis,(Link) Schult.,C3,Ueno et al. (1989),,Eleocharis,tortilis,,
