Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Carex bohemica,Schreb.,C3,Bruhl and Wilson (2007),-27.7,Carex,bohemica,,
Carex breviculmis,R. Br.,C3,Takeda et al. (1985),,Carex,breviculmis,,
Carex camptoglochin,Krech.,C3,Kukkonen (1970),,Carex,camptoglochin,,
Carex capillacea,Boott,C3,Bruhl and Wilson (2007),,Carex,capillacea,,
Carex castanostachya,K. Schum.,C3,Hesla et al. (1982),,Carex,castanostachya,,
Carex cephalotes,F. Muell.,C3,Bruhl and Wilson (2007),,Carex,cephalotes,,
Carex chlorosaccus,C. B. Clarke,C3,Hesla et al. (1982),,Carex,chlorosaccus,,
Carex collumanthus,(Steyerm.) L. E. Mora,C3,Bruhl and Wilson (2007),,Carex,collumanthus,,
Carex conferta,Hochst. ex A. Rich.,C3,Hesla et al. (1982),,Carex,conferta,,
Carex conferta var. lycurus,Hochst. ex A. Rich. (K. Schum.) K. Lye,C3,Hesla et al. (1982),,Carex,conferta,lycurus,var.
Carex cruciata,Vahl,C3,Saxena and Ramakrishnan (1984),,Carex,cruciata,,
Carex cuchumatanensis,Standley and Steyerm.,C3,Standley (1987b) Standley (1990),,Carex,cuchumatanensis,,
Carex curvula,Allioni,C3,Korner et al. (1998),,Carex,curvula,,
Carex decidua,Boott,C3,Standley (1987b),,Carex,decidua,,
Carex declinata,Boott,C3,Takeda et al. (1985),,Carex,declinata,,
Carex dietrichiae,Boeck.,C3,Bruhl and Wilson (2007),-31.7,Carex,dietrichiae,,
Carex doniana subsp. chlorostachys,Spreng. (D. Don) Koyma,C3,Ueno et al. (1986),,Carex,doniana,chlorostachys,subsp.
Carex duriuscula,C. A. Mey.,C3,Boutton et al. (1980),,Carex,duriuscula,,
Carex echinochloe,Kunze,C3,Hesla et al. (1982),,Carex,echinochloe,,
Carex elgonensis,Nelmes,C3,Hesla et al. (1982),,Carex,elgonensis,,
Carex emoryi,Dewy,C3,Standley (1987a),,Carex,emoryi,,
Carex ericetorum,Pollich,C3,Bruhl and Wilson (2007),-25.9,Carex,ericetorum,,
Carex erythrorrhiza,Boeck.,C3,Hesla et al. (1982),,Carex,erythrorrhiza,,
Carex extensa,Good.,C3,Mateu Andres (1991),,Carex,extensa,,
Carex fascicularis,Solander ex Boott,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Carex,fascicularis,,
