Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,Pathway_subtype,dC13,Kranz_anatomy,Kranz_subtype,BS_area_um2,FM_DM,FM_DM_sd,leaf_thickness_um,leaf_thickness_um_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,mesophyll_area_um2,mesophyll_thickness_um,mesophyll_thickness_um_sd,BS:M,mesophyll_cell_area_um2,vein_density_m_mm-2,Habit,tissue,CITEKEYS
,Euphorbiaceae,,,,Pedilanthus,tithymaloides,,,,,,,-15.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Euphorbiaceae,,,,Ricinus,communis,,,,,,,-30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cistaceae,,,,Hudsonia,tomentosa,,,,,,,-28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cactaceae,,,,Opuntia,strobiliformis,,,,,CAM,,-15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cactaceae,,,,Opuntia,humifusa,,,,,CAM,,-13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Cactaceae,,,,Cereus,peruvianus,,,,,CAM,,-15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Apiaceae,,,,Eryngium,yuccifolium,,,,,,,-27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Ericaceae,,,,Cassiope,tetragona,,,,,,,-27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Apocynaceae,,,,Asclepias,syriaca,,,,,C3,,-28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Apocynaceae,,,,Hoya,carnosa,,,,,CAM,,-16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Apocynaceae,,,,Stapelia,semota,,,,,CAM,,-17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Convolvulaceae,,,,Convolvulus,sepium,,,,,C3,,-25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Solanaceae,,,,Physalis,heterophylla,,,,,C3,,-27.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Asteraceae,,,,Tagetes,sp.,,,,,C3,,-28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Asteraceae,,,,Artemisia,tridentata,,,,,C3,,-28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Asteraceae,,,,Artemisia,abrotanum,,,,,C3,,-29.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Asteraceae,,,,Senecio,gregori,,,,,,,-19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
,Asteraceae,,,,Tragopogon,pratensis,,,,,C3,,-29.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leaf,Bender1971PhyC
