Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Infradel,Subspecies,Taxon,Taxonomy_Status,Pathway,BS_area_um2,FM_DM,FM_DM_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,Kranz_anatomy,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,mesophyll_thickness_um,mesophyll_thickness_um_sd,mesophyll_cell_area_um2,Habit,dC13,tissue,CITEKEYS
,Cyperaceae,,,,Eleocharis,kuroguwai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Fimbristylis,littoralis,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Fimbristylis,aestivalis,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Pycreus,unioloides,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Rhynchospora,faberi,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Cyperaceae,,,,Carex,kobomugi,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Amaranthus,lividis,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Amaranthus,patulus,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Amaranthus,viridis,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Celosia,sp.,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Achyranthes,jaoponica,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Atriplex,gmelinii,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Beta,vulgaris,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Chenopodium,album,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Amaranthaceae,,,,Spinacia,oleracea,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Portulacaceae,,,,Portulaca,grandiflora,,,,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Polygonaceae,,,,Rumex,acetosa,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Vicia,sativa,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Vicia,faba,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Medicago,sativa,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Glycine,max,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Trifolium,pratense,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Fabaceae,,,,Trifolium,repens,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Asteraceae,,,,Helianthus,annus,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
,Solanaceae,,,,Solanum,lycopersicum,,,,,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leaf,Akita1969JJCS
