Order,Family,Subfamily,Tribe,Subtribe,Genus,Species,Subspecies,Pathway,BS_area_um2,FM_DM,FM_DM_sd,IAS,IAS_sd,SLA_cm2_g-1,SLA_cm2_g-1_sd,air_channel_area_um2,air_channel_area_um2_sd,chlorenchyma_diameter_um,chlorenchyma_diameter_um_sd,chlorenchyma_hydrenchyma_ratio,chlorenchyma_hydrenchyma_ratio_sd,chlorenchyma_vertical_thickness_um,chlorenchyma_vertical_thickness_um_sd,distance_between_BS_um,hydrenchyma_vertical_thickness_um,hydrenchyma_vertical_thickness_um_sd,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_abaxial_area_um2,mesophyll_abaxial_length_um,mesophyll_adaxial_area_um2,mesophyll_adaxial_length_um,leaf_thickness_um,leaf_thickness_um_sd,mesophyll_cell_area_um2,Habit,dC13,tissue,long_name,CITEKEYS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,vermiculata,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,dendroides,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,yazdiana,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,canescens,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Caroxyloneae,,Caroxylon,carpatha,,C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Halothamnus,auriculus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Halothamnus,glaucus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Halothamnus,auriculus,acutifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Halothamnus,subaphyllus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Anabasis,aphylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Anabasis,calcarea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Anabasis,iranica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Anabasis,hausskenchtii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Anabasis,jaxartica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Anabasis,eriopoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Anabasis,eugeniae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Cornulaca,aucheri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
,Amaranthaceae,Salsoloideae,Salsoleae,,Cornulaca,monacantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Akhani2007IJPS
